season,team1,team2,date,winner,Venue
2023,England,New Zealand,2023/10/05,New Zealand,"Narendra Modi Stadium, Ahmedabad"
2023,Pakistan,Netherlands,2023/10/06,Pakistan,"Rajiv Gandhi International Stadium, Hyderabad"
2023,Afghanistan,Bangladesh,2023/10/07,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,South Africa,Sri Lanka,2023/10/07,South Africa,"Arun Jaitley Stadium, Delhi"
2023,Australia,India,2023/10/08,India,"MA Chidambaram Stadium, Chennai"
2023,New Zealand,Netherlands,2023/10/09,New Zealand,"Rajiv Gandhi International Stadium, Hyderabad"
2023,England,Bangladesh,2023/10/10,England,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Sri Lanka,Pakistan,2023/10/10,Pakistan,"Rajiv Gandhi International Stadium, Hyderabad"
2023,Afghanistan,India,2023/10/11,India,"Arun Jaitley Stadium, Delhi"
2023,South Africa,Australia,2023/10/12,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Bangladesh,New Zealand,2023/10/13,New Zealand,"MA Chidambaram Stadium, Chennai"
2023,Pakistan,India,2023/10/14,India,"Narendra Modi Stadium, Ahmedabad"
2023,Afghanistan,England,2023/10/15,Afghanistan,"Arun Jaitley Stadium, Delhi"
2023,Sri Lanka,Australia,2023/10/16,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Netherlands,South Africa,2023/10/17,Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,New Zealand,Afghanistan,2023/10/18,New Zealand,"MA Chidambaram Stadium, Chennai"
2023,Bangladesh,India,2023/10/19,India,"Maharashtra Cricket Association Stadium, Pune"
2023,Australia,Pakistan,2023/10/20,Australia,"M Chinnaswamy Stadium, Bengaluru"
2023,Netherlands,Sri Lanka,2023/10/21,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,South Africa,England,2023/10/21,South Africa,"Wankhede Stadium, Mumbai"
2023,New Zealand,India,2023/10/22,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Pakistan,Afghanistan,2023/10/23,Afghanistan,"MA Chidambaram Stadium, Chennai"
2023,South Africa,Bangladesh,2023/10/24,South Africa,"Wankhede Stadium, Mumbai"
2023,Australia,Netherlands,2023/10/25,Australia,"Arun Jaitley Stadium, Delhi"
2023,England,Sri Lanka,2023/10/26,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru"
2023,Pakistan,South Africa,2023/10/27,South Africa,"MA Chidambaram Stadium, Chennai"
2023,Australia,New Zealand,2023/10/28,Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Netherlands,Bangladesh,2023/10/28,Netherlands,"Eden Gardens, Kolkata"
2023,India,England,2023/10/29,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Sri Lanka,Afghanistan,2023/10/30,Afghanistan,"Maharashtra Cricket Association Stadium, Pune"
2023,Bangladesh,Pakistan,2023/10/31,Pakistan,"Eden Gardens, Kolkata"
2023,South Africa,New Zealand,2023/11/01,South Africa,"Maharashtra Cricket Association Stadium, Pune"
2019,England,South Africa,2019/05/30,England,"Kennington Oval, London"
2019,New Zealand,Sri Lanka,2019/06/01,New Zealand,"Sophia Gardens, Cardiff"
2019,Afghanistan,Australia,2019/06/01,Australia,"County Ground, Bristol"
2019,South Africa,Bangladesh,2019/06/02,Bangladesh,"Kennington Oval, London"
2019,England,Pakistan,2019/06/03,Pakistan,"Trent Bridge, Nottingham"
2019,Afghanistan,Sri Lanka,2019/06/04,Sri Lanka,"Sophia Gardens, Cardiff"
2019,South Africa,India,2019/06/05,India,"The Rose Bowl, Southampton"
2019,Bangladesh,New Zealand,2019/06/05,New Zealand,"Kennington Oval, London"
2019,Pakistan,Sri Lanka,2019/06/07,Match abandoned without a ball bowled (no toss),"County Ground, Bristol"
2019,England,Bangladesh,2019/06/08,England,"Sophia Gardens, Cardiff"
2019,Afghanistan,New Zealand,2019/06/08,New Zealand,"The Cooper Associates County Ground, Taunton"
2019,India,Australia,2019/06/09,India,"Kennington Oval, London"
2019,Bangladesh,Sri Lanka,2019/06/11,Match abandoned without toss due to rain,"County Ground, Bristol"
2019,Australia,Pakistan,2019/06/12,Australia,"The Cooper Associates County Ground, Taunton"
2019,India,New Zealand,2019/06/13,Match abandoned without toss (due to rain),"Trent Bridge, Nottingham"
2019,Sri Lanka,Australia,2019/06/15,Australia,"Kennington Oval, London"
2019,South Africa,Afghanistan,2019/06/15,South Africa,"Sophia Gardens, Cardiff"
2019,India,Pakistan,2019/06/16,India,"Emirates Old Trafford, Manchester"
2019,England,Afghanistan,2019/06/18,England,"Emirates Old Trafford, Manchester"
2019,New Zealand,South Africa,2019/06/19,New Zealand,"Edgbaston, Birmingham"
2019,Australia,Bangladesh,2019/06/20,Australia,"Trent Bridge, Nottingham"
2019,England,Sri Lanka,2019/06/21,Sri Lanka,"Headingley, Leeds"
2019,India,Afghanistan,2019/06/22,India,"The Rose Bowl, Southampton"
2019,Pakistan,South Africa,2019/06/23,Pakistan,"Lord's, London"
2019,Bangladesh,Afghanistan,2019/06/24,Bangladesh,"The Rose Bowl, Southampton"
2019,England,Australia,2019/06/25,Australia,"Lord's, London"
2019,New Zealand,Pakistan,2019/06/26,Pakistan,"Edgbaston, Birmingham"
2019,Sri Lanka,South Africa,2019/06/28,South Africa,"Riverside Ground, Chester-le-Street"
2019,Pakistan,Afghanistan,2019/06/29,Pakistan,"Headingley, Leeds"
2019,New Zealand,Australia,2019/06/29,Australia,"Lord's, London"
2019,England,India,2019/06/30,England,"Edgbaston, Birmingham"
2019,Bangladesh,India,2019/07/02,India,"Edgbaston, Birmingham"
2019,England,New Zealand,2019/07/03,England,"Riverside Ground, Chester-le-Street"
2019,Pakistan,Bangladesh,2019/07/05,Pakistan,"Lord's, London"
2019,Sri Lanka,India,2019/07/06,India,"Headingley, Leeds"
2019,Australia,South Africa,2019/07/06,South Africa,"Emirates Old Trafford, Manchester"
2019,India,New Zealand,2019/07/09,New Zealand,"Emirates Old Trafford, Manchester"
2019,Australia,England,2019/07/11,England,"Edgbaston, Birmingham"
2019,New Zealand,England,2019/07/14,Match tied (England,"Lord's, London"
2015,New Zealand,Sri Lanka,2015/02/14,New Zealand,"Hagley Oval, Christchurch"
2015,Australia,England,2015/02/14,Australia,"Melbourne Cricket Ground, Melbourne"
2015,India,Pakistan,2015/02/15,India,"Adelaide Oval, Adelaide"
2015,Bangladesh,Afghanistan,2015/02/18,Bangladesh,"Manuka Oval, Canberra"
2015,New Zealand,England,2015/02/20,New Zealand,"Sky Stadium, Wellington"
2015,Australia,Bangladesh,2015/02/21,Match abandoned without a ball being bowled,"The Gabba, Brisbane"
2015,Afghanistan,Sri Lanka,2015/02/22,Sri Lanka,"University Oval, Dunedin"
2015,India,South Africa,2015/02/22,India,"Melbourne Cricket Ground, Melbourne"
2015,Bangladesh,Sri Lanka,2015/02/26,Sri Lanka,"Melbourne Cricket Ground, Melbourne"
2015,New Zealand,Australia,2015/02/28,New Zealand,"Eden Park, Auckland"
2015,England,Sri Lanka,2015/03/01,Sri Lanka,"Sky Stadium, Wellington"
2015,Australia,Afghanistan,2015/03/04,Australia,"W.A.C.A. Ground, Perth"
2015,Pakistan,South Africa,2015/03/07,Pakistan,"Eden Park, Auckland"
2015,New Zealand,Afghanistan,2015/03/08,New Zealand,"McLean Park, Napier"
2015,Australia,Sri Lanka,2015/03/08,Australia,"Sydney Cricket Ground, Sydney"
2015,England,Bangladesh,2015/03/09,Bangladesh,"Adelaide Oval, Adelaide"
2015,New Zealand,Bangladesh,2015/03/13,New Zealand,"Seddon Park, Hamilton"
2015,Afghanistan,England,2015/03/13,Eng,"Sydney Cricket Ground, Sydney"
2015,Sri Lanka,South Africa,2015/03/18,South Africa,"Sydney Cricket Ground, Sydney"
2015,Bangladesh,India,2015/03/19,India,"Melbourne Cricket Ground, Melbourne"
2015,Australia,Pakistan,2015/03/20,Australia,"Adelaide Oval, Adelaide"
2015,New Zealand,South Africa,2015/03/24,NZ,"Eden Park, Auckland"
2015,Australia,India,2015/03/26,Australia,"Sydney Cricket Ground, Sydney"
2015,New Zealand,Australia,2015/03/29,Australia,"Melbourne Cricket Ground, Melbourne"
2011,Bangladesh,India,2011/02/19,India,"Shere Bangla National Stadium, Dhaka"
2011,England,Netherlands,2011/02/22,England,"Vidarbha Cricket Association Stadium, Nagpur"
2011,Australia,New Zealand,2011/02/25,Australia,"Vidarbha Cricket Association Stadium, Nagpur"
2011,Sri Lanka,Pakistan,2011/02/26,Pakistan,"R.Premadasa Stadium, Colombo"
2011,India,England,2011/02/27,Match tied,"M.Chinnaswamy Stadium, Bengaluru"
2011,South Africa,Netherlands,2011/03/03,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2011,Sri Lanka,Australia,2011/03/05,Match abandoned due to rain,"R.Premadasa Stadium, Colombo"
2011,England,South Africa,2011/03/06,England,"MA Chidambaram Stadium, Chennai"
2011,Pakistan,New Zealand,2011/03/08,New Zealand,"Pallekele International Cricket Stadium, Pallekele"
2011,India,Netherlands,2011/03/09,India,"Arun Jaitley Stadium, Delhi"
2011,Bangladesh,England,2011/03/11,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2011,India,South Africa,2011/03/12,South Africa,"Vidarbha Cricket Association Stadium, Nagpur"
2011,Bangladesh,Netherlands,2011/03/14,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2011,Sri Lanka,New Zealand,2011/03/18,Sri Lanka,"Wankhede Stadium, Mumbai"
2011,Bangladesh,South Africa,2011/03/19,South Africa,"Shere Bangla National Stadium, Dhaka"
2011,Australia,Pakistan,2011/03/19,Pakistan,"R.Premadasa Stadium, Colombo"
2011,India,Australia,2011/03/24,India,"Narendra Modi Stadium A Ground, Ahmedabad"
2011,New Zealand,South Africa,2011/03/25,New Zealand,"Shere Bangla National Stadium, Dhaka"
2011,Sri Lanka,England,2011/03/26,Sri Lanka,"R.Premadasa Stadium, Colombo"
2011,Sri Lanka,New Zealand,2011/03/29,Sri Lanka,"R.Premadasa Stadium, Colombo"
2011,India,Pakistan,2011/03/30,India,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2011,India,Sri Lanka,2011/04/02,India,"Wankhede Stadium, Mumbai"
2007,England,New Zealand,2007/03/16,New Zealand,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Netherlands,South Africa,2007/03/16,South Africa,"Warner Park, Basseterre, St Kitts"
2007,Bangladesh,India,2007/03/17,Bangladesh,"Queen's Park Oval, Port of Spain, Trinidad"
2007,Australia,Netherlands,2007/03/18,Australia,"Warner Park, Basseterre, St Kitts"
2007,Bangladesh,Sri Lanka,2007/03/21,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad"
2007,India,Sri Lanka,2007/03/23,Sri Lanka,"Queen's Park Oval, Port of Spain, Trinidad"
2007,Australia,South Africa,2007/03/24,Australia,"Warner Park, Basseterre, St Kitts"
2007,South Africa,Sri Lanka,2007/03/28,South Africa,"Providence Stadium, Guyana"
2007,Australia,Bangladesh,2007/03/31,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Bangladesh,New Zealand,2007/04/02,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,England,Sri Lanka,2007/04/04,Sri Lanka,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Bangladesh,South Africa,2007/04/07,Bangladesh,"Providence Stadium, Guyana"
2007,Australia,England,2007/04/08,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
2007,Bangladesh,England,2007/04/11,England,"Kensington Oval, Bridgetown, Barbados"
2007,New Zealand,Sri Lanka,2007/04/12,Sri Lanka,"National Cricket Stadium, St George's, Grenada"
2007,New Zealand,South Africa,2007/04/14,New Zealand,"National Cricket Stadium, St George's, Grenada"
2007,Australia,Sri Lanka,2007/04/16,Australia,"National Cricket Stadium, St George's, Grenada"
2007,England,South Africa,2007/04/17,South Africa,"Kensington Oval, Bridgetown, Barbados"
2007,Australia,New Zealand,2007/04/20,Australia,"National Cricket Stadium, St George's, Grenada"
2007,New Zealand,Sri Lanka,2007/04/24,Sri Lanka,"Sabina Park, Kingston, Jamaica"
2007,Australia,South Africa,2007/04/25,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
2007,Australia,Sri Lanka,2007/04/28,Australia,"Kensington Oval, Bridgetown, Barbados"
2003,New Zealand,Sri Lanka,2003/02/10,Sri Lanka,"Mangaung Oval, Bloemfontein"
2003,Australia,Pakistan,2003/02/11,Australia,"The Wanderers Stadium, Johannesburg"
2003,India,Netherlands,2003/02/12,India,"Boland Park, Paarl"
2003,Bangladesh,Sri Lanka,2003/02/14,Sri Lanka,"City Oval, Pietermaritzburg"
2003,Australia,India,2003/02/15,Australia,"SuperSport Park, Centurion"
2003,England,Netherlands,2003/02/16,England,"Buffalo Park, East London"
2003,South Africa,New Zealand,2003/02/16,New Zealand,"The Wanderers Stadium, Johannesburg"
2003,Australia,Netherlands,2003/02/20,Australia,"Senwes Park, Potchefstroom"
2003,England,Pakistan,2003/02/22,England,"Newlands, Cape Town"
2003,South Africa,Bangladesh,2003/02/22,South Africa,"Mangaung Oval, Bloemfontein"
2003,Netherlands,Pakistan,2003/02/25,Pakistan,"Boland Park, Paarl"
2003,England,India,2003/02/26,India,"Kingsmead, Durban"
2003,Bangladesh,New Zealand,2003/02/26,New Zealand,"Diamond Oval, Kimberley"
2003,India,Pakistan,2003/03/01,India,"SuperSport Park, Centurion"
2003,Australia,England,2003/03/02,Australia,"St George's Park, Gqeberha"
2003,South Africa,Sri Lanka,2003/03/03,Match tied (D/L method),"Kingsmead, Durban"
2003,Australia,Sri Lanka,2003/03/07,Australia,"SuperSport Park, Centurion"
2003,India,Sri Lanka,2003/03/10,India,"The Wanderers Stadium, Johannesburg"
2003,Australia,New Zealand,2003/03/11,Australia,"St George's Park, Gqeberha"
2003,India,New Zealand,2003/03/14,India,"SuperSport Park, Centurion"
2003,Australia,Sri Lanka,2003/03/18,Australia,"St George's Park, Gqeberha"
2003,Australia,India,2003/03/23,Australia,"The Wanderers Stadium, Johannesburg"
1999,England,Sri Lanka,1999/05/14,England,"Lord's, London"
1999,India,South Africa,1999/05/15,South Africa,"County Ground, Brighton"
1999,Bangladesh,New Zealand,1999/05/17,New Zealand,"County Ground, Chelmsford"
1999,South Africa,Sri Lanka,1999/05/19,South Africa,"County Ground, Northampton"
1999,Australia,New Zealand,1999/05/20,New Zealand,"Sophia Gardens, Cardiff"
1999,England,South Africa,1999/05/22,South Africa,"Kennington Oval, London"
1999,Australia,Pakistan,1999/05/23,Pakistan,"Headingley, Leeds"
1999,India,Sri Lanka,1999/05/26,India,"The Cooper Associates County Ground, Taunton"
1999,Australia,Bangladesh,1999/05/27,Australia,"Riverside Ground, Chester-le-Street"
1999,New Zealand,Pakistan,1999/05/28,Pakistan,"County Ground, Derby"
1999,England,India,1999/05/29,India,"Edgbaston, Birmingham"
1999,Bangladesh,Pakistan,1999/05/31,Bangladesh,"County Ground, Northampton"
1999,Australia,India,1999/06/04,Australia,"Kennington Oval, London"
1999,Pakistan,South Africa,1999/06/05,South Africa,"Trent Bridge, Nottingham"
1999,India,Pakistan,1999/06/08,India,"Emirates Old Trafford, Manchester"
1999,New Zealand,South Africa,1999/06/10,South Africa,"Edgbaston, Birmingham"
1999,India,New Zealand,1999/06/12,New Zealand,"Trent Bridge, Nottingham"
1999,Australia,South Africa,1999/06/13,Australia,"Headingley, Leeds"
1999,New Zealand,Pakistan,1999/06/16,Pakistan,"Emirates Old Trafford, Manchester"
1999,Australia,South Africa,1999/06/17,Match tied,"Edgbaston, Birmingham"
1999,Australia,Pakistan,1999/06/20,Australia,"Lord's, London"
2019,New Zealand,Sri Lanka,2019/01/03,New Zealand,"Bay Oval, Mount Maunganui"
2019,New Zealand,Sri Lanka,2019/01/04,New Zealand,"Bay Oval, Mount Maunganui"
2019,New Zealand,Sri Lanka,2019/01/05,New Zealand,"Saxton Oval, Nelson"
2019,Australia,India,2019/01/06,Australia,"Sydney Cricket Ground, Sydney"
2019,Australia,India,2019/01/07,India,"Adelaide Oval, Adelaide"
2019,Australia,India,2019/01/08,India,"Melbourne Cricket Ground, Melbourne"
2019,South Africa,Pakistan,2019/01/09,Pakistan,"St George's Park, Gqeberha"
2019,South Africa,Pakistan,2019/01/10,South Africa,"Kingsmead, Durban"
2019,New Zealand,India,2019/01/11,India,"McLean Park, Napier"
2019,South Africa,Pakistan,2019/01/13,South Africa,"SuperSport Park, Centurion"
2019,New Zealand,India,2019/01/14,India,"Bay Oval, Mount Maunganui"
2019,South Africa,Pakistan,2019/01/16,Pakistan,"The Wanderers Stadium, Johannesburg"
2019,New Zealand,India,2019/01/17,India,"Bay Oval, Mount Maunganui"
2019,South Africa,Pakistan,2019/01/19,South Africa,"Newlands, Cape Town"
2019,New Zealand,India,2019/01/20,New Zealand,"Seddon Park, Hamilton"
2019,New Zealand,India,2019/01/21,India,"Sky Stadium, Wellington"
2019,New Zealand,Bangladesh,2019/02/13,New Zealand,"McLean Park, Napier"
2019,New Zealand,Bangladesh,2019/02/16,New Zealand,"Hagley Oval, Christchurch"
2019,New Zealand,Bangladesh,2019/02/20,New Zealand,"University Oval, Dunedin"
2019,India,Australia,2019/03/02,India,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
2019,South Africa,Sri Lanka,2019/03/03,South Africa,"The Wanderers Stadium, Johannesburg"
2019,India,Australia,2019/03/05,India,"Vidarbha Cricket Association Stadium, Nagpur"
2019,South Africa,Sri Lanka,2019/03/06,South Africa,"SuperSport Park, Centurion"
2019,India,Australia,2019/03/08,Australia,"JSCA International Stadium, Ranchi"
