season,team1,team2,date,winner,Venue
2019,India,Australia,2019/03/10,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2019,South Africa,Sri Lanka,2019/03/10,South Africa,"Kingsmead, Durban"
2019,India,Australia,2019/03/13,Australia,"Arun Jaitley Stadium, Delhi"
2019,South Africa,Sri Lanka,2019/03/13,South Africa,"St George's Park, Gqeberha"
2019,South Africa,Sri Lanka,2019/03/16,South Africa,"Newlands, Cape Town"
2019,Australia,Pakistan,2019/03/22,Australia,"Sharjah Cricket Stadium, Sharjah"
2019,Australia,Pakistan,2019/03/24,Australia,"Sharjah Cricket Stadium, Sharjah"
2019,Australia,Pakistan,2019/03/27,Australia,"Sheikh Zayed Cricket Stadium, Abu Dhabi"
2019,Australia,Pakistan,2019/03/29,Australia,"DSC, Dubai"
2019,Australia,Pakistan,2019/03/31,Australia,"DSC, Dubai"
2019,England,Pakistan,2019/04/10,no result,"The Oval, Surrey"
2019,England,Pakistan,2019/05/11,England,"County Ground, Southampton"
2019,England,Pakistan,2019/05/14,England,"County Ground, Bristol"
2019,England,Pakistan,2019/05/17,England,"Trent Bridge, Nottingham"
2019,England,Pakistan,2019/05/19,England,"Headingley, Leeds"
2019,England,South Africa,2019/05/30,England,"The Oval, Surrey"
2019,New Zealand,Sri Lanka,2019/06/01,New Zealand,"Sophia Gardens, Cardiff"
2019,Afghanistan,Australia,2019/06/01,Australia,"County Ground, Bristol"
2019,Bangladesh,South Africa,2019/06/02,Bangladesh,"The Oval, Surrey"
2019,England,Pakistan,2019/06/03,Pakistan,"Trent Bridge, Nottingham"
2019,Afghanistan,Sri Lanka,2019/06/04,Sri Lanka,"Sophia Gardens, Cardiff"
2019,India,South Africa,2019/06/05,India,"County Ground, Southampton"
2019,Bangladesh,New Zealand,2019/06/05,New Zealand,"The Oval, Surrey"
2019,England,Bangladesh,2019/06/08,England,"Sophia Gardens, Cardiff"
2019,Afghanistan,New Zealand,2019/06/08,New Zealand,"The Cooper Associates County Ground, Taunton"
2019,Australia,India,2019/06/09,India,"The Oval, Surrey"
2019,Australia,Pakistan,2019/06/12,Australia,"The Cooper Associates County Ground, Taunton"
2019,Australia,Sri Lanka,2019/06/15,Australia,"The Oval, Surrey"
2019,Afghanistan,South Africa,2019/06/15,South Africa,"Sophia Gardens, Cardiff"
2019,India,Pakistan,2019/06/16,India,"Emirates Old Trafford, Manchester"
2019,England,Afghanistan,2019/06/18,England,"Emirates Old Trafford, Manchester"
2019,New Zealand,South Africa,2019/06/19,New Zealand,"Edgbaston, Birmingham"
2019,Australia,Bangladesh,2019/06/20,Australia,"Trent Bridge, Nottingham"
2019,England,Sri Lanka,2019/06/21,Sri Lanka,"Headingley, Leeds"
2019,Afghanistan,India,2019/06/22,India,"County Ground, Southampton"
2019,Pakistan,South Africa,2019/06/23,Pakistan,"Lord's, London"
2019,Afghanistan,Bangladesh,2019/06/24,Bangladesh,"County Ground, Southampton"
2019,England,Australia,2019/06/25,Australia,"Lord's, London"
2019,New Zealand,Pakistan,2019/06/26,Pakistan,"Edgbaston, Birmingham"
2019,South Africa,Sri Lanka,2019/06/28,South Africa,"Riverside Ground, Chester-le-Street"
2019,Afghanistan,Pakistan,2019/06/29,Pakistan,"Headingley, Leeds"
2019,Australia,New Zealand,2019/06/29,Australia,"Lord's, London"
2019,England,India,2019/06/30,England,"Edgbaston, Birmingham"
2019,Bangladesh,India,2019/07/02,India,"Edgbaston, Birmingham"
2019,England,New Zealand,2019/07/03,England,"Riverside Ground, Chester-le-Street"
2019,Bangladesh,Pakistan,2019/07/05,Pakistan,"Lord's, London"
2019,India,Sri Lanka,2019/07/06,India,"Headingley, Leeds"
2019,Australia,South Africa,2019/07/06,South Africa,"Emirates Old Trafford, Manchester"
2019,India,New Zealand,2019/07/09,New Zealand,"Emirates Old Trafford, Manchester"
2019,England,Australia,2019/07/11,England,"Edgbaston, Birmingham"
2019,England,New Zealand,2019/07/14,tied,"Lord's, London"
2019,Sri Lanka,Bangladesh,2019/07/26,Sri Lanka,"R.Premadasa Stadium, Colombo"
2019,Sri Lanka,Bangladesh,2019/07/28,Sri Lanka,"R.Premadasa Stadium, Colombo"
2019,Sri Lanka,Bangladesh,2019/07/31,Sri Lanka,"R.Premadasa Stadium, Colombo"
2019,Pakistan,Sri Lanka,2019/09/30,Pakistan,"National Stadium, Karachi"
2019,Pakistan,Sri Lanka,2019/10/02,Pakistan,"National Stadium, Karachi"
2020,India,Australia,2020/01/14,Australia,"Wankhede Stadium, Mumbai"
2020,India,Australia,2020/01/17,India,"Saurashtra Cricket Association Stadium, Rajkot"
2020,India,Australia,2020/01/19,India,"M.Chinnaswamy Stadium, Bengaluru"
2020,South Africa,England,2020/02/04,South Africa,"Newlands, Cape Town"
2020,New Zealand,India,2020/02/05,New Zealand,"Seddon Park, Hamilton"
2020,South Africa,England,2020/02/07,no result,"Kingsmead, Durban"
2020,New Zealand,India,2020/02/08,New Zealand,"Eden Park, Auckland"
2020,South Africa,England,2020/02/09,England,"The Wanderers Stadium, Johannesburg"
2020,New Zealand,India,2020/02/11,New Zealand,"Bay Oval, Mount Maunganui"
2020,South Africa,Australia,2020/02/29,South Africa,"Boland Park, Paarl"
2020,South Africa,Australia,2020/03/04,South Africa,"Mangaung Oval, Bloemfontein"
2020,South Africa,Australia,2020/03/07,South Africa,"Senwes Park, Potchefstroom"
2020,Australia,New Zealand,2020/03/13,Australia,"Sydney Cricket Ground, Sydney"
2020,England,Australia,2020/09/11,Australia,"Emirates Old Trafford, Manchester"
2020,England,Australia,2020/09/13,England,"Emirates Old Trafford, Manchester"
2020,England,Australia,2020/09/16,Australia,"Emirates Old Trafford, Manchester"
2020,Australia,India,2020/11/27,Australia,"Sydney Cricket Ground, Sydney"
2020,Australia,India,2020/11/29,Australia,"Sydney Cricket Ground, Sydney"
2020,Australia,India,2020/12/02,India,"Manuka Oval, Canberra"
2021,New Zealand,Bangladesh,2021/03/20,New Zealand,"University Oval, Dunedin"
2021,New Zealand,Bangladesh,2021/03/23,New Zealand,"Hagley Oval, Christchurch"
2021,India,England,2021/03/23,India,"Maharashtra Cricket Association Stadium, Pune"
2021,New Zealand,Bangladesh,2021/03/26,New Zealand,"Sky Stadium, Wellington"
2021,India,England,2021/03/26,England,"Maharashtra Cricket Association Stadium, Pune"
2021,India,England,2021/03/28,India,"Maharashtra Cricket Association Stadium, Pune"
2021,South Africa,Pakistan,2021/04/02,Pakistan,"SuperSport Park, Centurion"
2021,South Africa,Pakistan,2021/04/04,South Africa,"The Wanderers Stadium, Johannesburg"
2021,South Africa,Pakistan,2021/04/07,Pakistan,"SuperSport Park, Centurion"
2021,Bangladesh,Sri Lanka,2021/05/23,Bangladesh,"Mirpur Stadium, Mirpur"
2021,Bangladesh,Sri Lanka,2021/05/25,Bangladesh,"Mirpur Stadium, Mirpur"
2021,Bangladesh,Sri Lanka,2021/05/28,Sri Lanka,"Mirpur Stadium, Mirpur"
2021,England,Sri Lanka,2021/06/29,England,"Riverside Ground, Chester-le-Street"
2021,England,Sri Lanka,2021/07/01,England,"The Oval, Surrey"
2021,England,Sri Lanka,2021/07/04,no result,"County Ground, Bristol"
2021,England,Pakistan,2021/07/08,England,"Sophia Gardens, Cardiff"
2021,England,Pakistan,2021/07/10,England,"Lord's, London"
2021,England,Pakistan,2021/07/13,England,"Edgbaston, Birmingham"
2021,Sri Lanka,India,2021/07/18,India,"R.Premadasa Stadium, Colombo"
2021,Sri Lanka,India,2021/07/20,India,"R.Premadasa Stadium, Colombo"
2021,Sri Lanka,India,2021/07/23,Sri Lanka,"R.Premadasa Stadium, Colombo"
2021,Sri Lanka,South Africa,2021/09/02,Sri Lanka,"R.Premadasa Stadium, Colombo"
2021,Sri Lanka,South Africa,2021/09/04,South Africa,"R.Premadasa Stadium, Colombo"
2021,Sri Lanka,South Africa,2021/09/07,Sri Lanka,"R.Premadasa Stadium, Colombo"
2021,South Africa,Netherlands,2021/11/26,no result,"SuperSport Park, Centurion"
2022,South Africa,India,2022/01/19,South Africa,"Boland Park, Paarl"
2022,Afghanistan,Netherlands,2022/01/21,Afghanistan,"West End Park, Doha"
2022,South Africa,India,2022/01/21,South Africa,"Boland Park, Paarl"
2022,Afghanistan,Netherlands,2022/01/23,Afghanistan,"West End Park, Doha"
2022,South Africa,India,2022/01/23,South Africa,"Newlands, Cape Town"
2022,Afghanistan,Netherlands,2022/01/25,Afghanistan,"West End Park, Doha"
2022,Bangladesh,Afghanistan,2022/02/23,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2022,Bangladesh,Afghanistan,2022/02/25,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2022,Bangladesh,Afghanistan,2022/02/28,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2022,South Africa,Bangladesh,2022/03/18,Bangladesh,"SuperSport Park, Centurion"
2022,South Africa,Bangladesh,2022/03/20,South Africa,"The Wanderers Stadium, Johannesburg"
2022,South Africa,Bangladesh,2022/03/23,Bangladesh,"SuperSport Park, Centurion"
2022,New Zealand,Netherlands,2022/03/29,New Zealand,"Bay Oval, Mount Maunganui"
2022,Pakistan,Australia,2022/03/29,Australia,"Gaddafi Stadium, Lahore"
2022,Pakistan,Australia,2022/03/31,Pakistan,"Gaddafi Stadium, Lahore"
2022,New Zealand,Netherlands,2022/04/02,New Zealand,"Seddon Park, Hamilton"
2022,Pakistan,Australia,2022/04/02,Pakistan,"Gaddafi Stadium, Lahore"
2022,New Zealand,Netherlands,2022/04/04,New Zealand,"Seddon Park, Hamilton"
2022,Sri Lanka,Australia,2022/06/14,Australia,"Pallekele International Cricket Stadium, Pallekele"
2022,Sri Lanka,Australia,2022/06/16,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele"
2022,Netherlands,England,2022/06/17,England,"VRA Cricket Ground, Amstelveenbb"
2022,Netherlands,England,2022/06/19,England,"VRA Cricket Ground, Amstelveenbb"
2022,Sri Lanka,Australia,2022/06/19,Sri Lanka,"R.Premadasa Stadium, Colombo"
2022,Sri Lanka,Australia,2022/06/21,Sri Lanka,"R.Premadasa Stadium, Colombo"
2022,Netherlands,England,2022/06/22,England,"VRA Cricket Ground, Amstelveenbb"
2022,Sri Lanka,Australia,2022/06/24,Australia,"R.Premadasa Stadium, Colombo"
2022,England,India,2022/07/12,India,"The Oval, Surrey"
2022,England,India,2022/07/14,England,"Lord's, London"
2022,England,India,2022/07/17,India,"Emirates Old Trafford, Manchester"
2022,England,South Africa,2022/07/19,South Africa,"Riverside Ground, Chester-le-Street"
2022,England,South Africa,2022/07/22,England,"Emirates Old Trafford, Manchester"
2022,England,South Africa,2022/07/24,no result,"Headingley, Leeds"
2022,Netherlands,Pakistan,2022/08/16,Pakistan,"Hazelaarweg Stadion , Rotterdam"
2022,Netherlands,Pakistan,2022/08/18,Pakistan,"Hazelaarweg Stadion , Rotterdam"
2022,Netherlands,Pakistan,2022/08/21,Pakistan,"Hazelaarweg Stadion , Rotterdam"
2022,Australia,New Zealand,2022/09/06,Australia,"Cairns Stadium, Cairns"
2022,Australia,New Zealand,2022/09/08,Australia,"Cairns Stadium, Cairns"
2022,Australia,New Zealand,2022/09/11,Australia,"Cairns Stadium, Cairns"
2022,India,South Africa,2022/10/06,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2022,India,South Africa,2022/10/09,India,"JSCA International Stadium, Ranchi"
2022,India,South Africa,2022/10/11,India,"Arun Jaitley Stadium, Delhi"
2022,Australia,England,2022/11/17,Australia,"Adelaide Oval, Adelaide"
2022,Australia,England,2022/11/19,Australia,"Sydney Cricket Ground, Sydney"
2022,Australia,England,2022/11/22,Australia,"Melbourne Cricket Ground, Melbourne"
2022,New Zealand,India,2022/11/25,New Zealand,"Eden Park, Auckland"
2022,Sri Lanka,Afghanistan,2022/11/25,Afghanistan,"Pallekele International Cricket Stadium, Pallekele"
2022,New Zealand,India,2022/11/27,no result,"Seddon Park, Hamilton"
2022,Sri Lanka,Afghanistan,2022/11/27,no result,"Pallekele International Cricket Stadium, Pallekele"
2022,New Zealand,India,2022/11/30,no result,"Hagley Oval, Christchurch"
2022,Sri Lanka,Afghanistan,2022/11/30,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele"
2022,Bangladesh,India,2022/12/04,Bangladesh,"Mirpur Stadium, Mirpur"
2022,Bangladesh,India,2022/12/07,Bangladesh,"Mirpur Stadium, Mirpur"
2022,Bangladesh,India,2022/12/10,India,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,Pakistan,New Zealand,2023/01/09,Pakistan,"National Stadium, Karachi"
2023,India,Sri Lanka,2023/01/10,India,"ASA, Guwahati"
2023,Pakistan,New Zealand,2023/01/11,New Zealand,"National Stadium, Karachi"
2023,India,Sri Lanka,2023/01/12,India,"Eden Gardens, Kolkata"
2023,Pakistan,New Zealand,2023/01/13,New Zealand,"National Stadium, Karachi"
2023,India,Sri Lanka,2023/01/15,India,"Greenfield, Thiruvananthapuram"
2023,India,New Zealand,2023/01/18,India,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
2023,India,New Zealand,2023/01/21,India,"Shaheed Veer Narayan, Raipur"
2023,India,New Zealand,2023/01/24,India,"Indore Stadium, Indore"
2023,South Africa,England,2023/01/27,South Africa,"Mangaung Oval, Bloemfontein"
2023,South Africa,England,2023/01/29,South Africa,"Mangaung Oval, Bloemfontein"
2023,South Africa,England,2023/02/01,England,"Diamond Oval, Kimberley"
2023,Bangladesh,England,2023/03/01,England,"Mirpur Stadium, Mirpur"
2023,Bangladesh,England,2023/03/03,England,"Mirpur Stadium, Mirpur"
2023,Bangladesh,England,2023/03/06,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,India,Australia,2023/03/17,India,"Wankhede Stadium, Mumbai"
2023,India,Australia,2023/03/19,Australia,"ACA-VDCA, Visakhapatnam"
2023,India,Australia,2023/03/22,Australia,"MA Chidambaram Stadium, Chennai"
2023,New Zealand,Sri Lanka,2023/03/25,New Zealand,"Eden Park, Auckland"
2023,New Zealand,Sri Lanka,2023/03/31,New Zealand,"Seddon Park, Hamilton"
2023,South Africa,Netherlands,2023/03/31,South Africa,"Willowmoore Park, Benoni"
2023,South Africa,Netherlands,2023/04/02,South Africa,"The Wanderers Stadium, Johannesburg"
2023,Pakistan,New Zealand,2023/04/27,Pakistan,"Rawalpindi Stadium, Rawalpindi"
2023,Pakistan,New Zealand,2023/04/29,Pakistan,"Rawalpindi Stadium, Rawalpindi"
2023,Pakistan,New Zealand,2023/05/03,Pakistan,"National Stadium, Karachi"
2023,Pakistan,New Zealand,2023/05/05,Pakistan,"National Stadium, Karachi"
2023,Pakistan,New Zealand,2023/05/07,New Zealand,"National Stadium, Karachi"
2023,Sri Lanka,Afghanistan,2023/06/02,Afghanistan,"Mahinda Rajapaksa International Stadium, Hambantota"
2023,Sri Lanka,Afghanistan,2023/06/04,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota"
2023,Sri Lanka,Afghanistan,2023/06/07,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota"
2023,Netherlands,Sri Lanka,2023/06/30,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,Bangladesh,Afghanistan,2023/07/05,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,Bangladesh,Afghanistan,2023/07/08,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2023,Netherlands,Sri Lanka,2023/07/09,Sri Lanka,"Harare Sports Club, Harare"
2023,Bangladesh,Afghanistan,2023/07/11,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2018,New Zealand,Pakistan,2018/01/06,New Zealand,"Sky Stadium, Wellington"
2018,New Zealand,Pakistan,2018/01/09,New Zealand,"Saxton Oval, Nelson"
2018,New Zealand,Pakistan,2018/01/13,New Zealand,"University Oval, Dunedin"
2018,Australia,England,2018/01/14,England,"Melbourne Cricket Ground, Melbourne"
2018,New Zealand,Pakistan,2018/01/16,New Zealand,"Seddon Park, Hamilton"
2018,New Zealand,Pakistan,2018/01/19,New Zealand,"Sky Stadium, Wellington"
2018,Australia,England,2018/01/19,England,"The Gabba, Brisbane"
2018,Bangladesh,Sri Lanka,2018/01/19,Bangladesh,"Mirpur Stadium, Mirpur"
2018,Australia,England,2018/01/21,England,"Sydney Cricket Ground, Sydney"
2018,Bangladesh,Sri Lanka,2018/01/25,Sri Lanka,"Mirpur Stadium, Mirpur"
2018,Australia,England,2018/01/26,Australia,"Adelaide Oval, Adelaide"
2018,Bangladesh,Sri Lanka,2018/01/27,Sri Lanka,"Mirpur Stadium, Mirpur"
2018,Australia,England,2018/01/28,England,"W.A.C.A. Ground, Perth"
2018,South Africa,India,2018/02/01,India,"Kingsmead, Durban"
2018,South Africa,India,2018/02/04,India,"SuperSport Park, Centurion"
2018,South Africa,India,2018/02/07,India,"Newlands, Cape Town"
2018,South Africa,India,2018/02/10,South Africa,"The Wanderers Stadium, Johannesburg"
2018,South Africa,India,2018/02/13,India,"St George's Park, Gqeberha"
2018,South Africa,India,2018/02/16,India,"SuperSport Park, Centurion"
2018,New Zealand,England,2018/02/25,New Zealand,"Seddon Park, Hamilton"
2018,New Zealand,England,2018/02/28,England,"Bay Oval, Mount Maunganui"
2018,New Zealand,England,2018/03/03,England,"Sky Stadium, Wellington"
2018,New Zealand,England,2018/03/07,New Zealand,"University Oval, Dunedin"
2018,New Zealand,England,2018/03/10,England,"Hagley Oval, Christchurch"
2018,England,Australia,2018/06/13,England,"The Oval, Surrey"
2018,England,Australia,2018/06/16,England,"Sophia Gardens, Cardiff"
2018,England,Australia,2018/06/19,England,"Trent Bridge, Nottingham"
2018,England,Australia,2018/06/21,England,"Riverside Ground, Chester-le-Street"
2018,England,Australia,2018/06/24,England,"Emirates Old Trafford, Manchester"
2018,England,India,2018/07/12,India,"Trent Bridge, Nottingham"
2018,England,India,2018/07/14,England,"Lord's, London"
2018,England,India,2018/07/17,England,"Headingley, Leeds"
2018,Sri Lanka,South Africa,2018/07/29,South Africa,Dambulla
2018,Sri Lanka,South Africa,2018/08/01,South Africa,Dambulla
